playerID,year,stint,tmID,GP,oRebounds,dRebounds,dq,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,ft%,fg%,three%,gs%,Postft%,Postfg%,Postthree%,Postgs%,efg%,ts%,ppg,rpg,apg,spg,bpg,eff,pp36,defensive_prowess,defensive_discipline,mpg,pos,college,playoff,confID,playoff_progression,height,weight,award_count
18,7,0,551,34,0.44,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.46,0.35,1.0,0.0,0.0,0.0,0.0,0.96,1.08,21.88,3.76,1.47,0.62,0.53,-396.74,23.76,44.699999999999996,7.58,33.06,2,587,0,697,0,72.0,179,1
18,8,0,551,34,1.09,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.51,0.42,1.0,0.0,0.0,0.0,0.0,1.06,1.16,22.62,4.0,2.32,1.21,0.62,-361.23,25.2,47.400000000000006,8.3,32.15,2,587,0,697,0,72.0,179,0
18,9,0,551,31,0.9,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.47,0.32,1.0,0.0,0.0,0.0,0.0,0.98,1.08,19.06,3.87,2.68,1.03,0.39,-300.97,20.52,43.9,6.32,33.61,2,587,0,697,0,72.0,179,0
18,10,0,551,6,0.67,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.57,0.64,1.0,0.0,0.0,0.0,0.0,1.24,1.32,21.0,4.17,1.5,2.0,0.5,-22.83,25.56,60.0,6.0,29.67,2,587,0,697,0,72.0,179,0
19,4,0,564,7,0.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.64,1.43,1.29,0.14,0.0,0.57,-11.57,8.280000000000001,15.700000000000001,2.28,6.29,2,588,0,698,0,75.0,177,0
20,1,0,553,15,0.33,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.45,0.42,1.0,0.0,0.0,0.0,0.0,1.0,1.18,9.6,2.73,6.13,0.8,0.33,-68.41,9.36,35.3,9.46,37.27,1,589,0,697,0,68.0,143,0
20,2,0,553,32,0.31,2.75,0.03,37.5,4.5,0.0,1.5,1.5,5.0,0.5,0.5,2.5,3.5,0.0,0.92,0.41,0.51,1.0,1.0,0.25,0.29,1.0,1.02,1.22,8.62,3.06,5.34,0.69,0.31,-167.98000000000002,8.280000000000001,37.5,9.88,37.66,1,589,1,697,1,68.0,143,0
20,3,0,553,32,0.47,1.69,0.0,37.2,8.0,0.4,2.2,2.6,6.8,0.8,1.0,1.6,4.0,0.0,0.8,0.46,0.45,1.0,0.88,0.39,0.37,1.0,1.12,1.26,9.56,2.16,4.94,0.84,0.44,-177.06,9.72,29.700000000000003,10.56,35.97,1,589,1,697,0,68.0,143,0
20,4,0,560,34,0.29,2.38,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.4,0.4,1.0,0.0,0.0,0.0,0.0,1.0,1.08,7.65,2.68,3.26,0.79,0.26,-186.36,8.280000000000001,34.4,9.36,33.41,1,589,0,697,0,68.0,143,0
21,1,0,562,25,0.08,0.36,0.0,7.2,1.6,0.0,0.2,0.2,0.2,0.4,0.0,0.2,0.2,0.0,0.83,0.35,0.33,0.0,0.0,0.33,0.67,0.0,0.88,0.92,1.88,0.44,0.84,0.68,0.04,-46.120000000000005,8.280000000000001,10.8,2.72,8.04,1,590,1,698,2,64.0,125,0
21,2,0,562,19,0.11,0.53,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.38,0.0,0.0,0.0,0.0,0.0,1.04,1.04,1.11,0.63,0.58,0.26,0.0,-17.42,6.4799999999999995,7.9,1.58,6.0,1,590,1,698,1,64.0,125,0
21,3,0,562,18,0.06,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.15,0.07,0.0,0.0,0.0,0.0,0.0,0.34,0.48,0.78,0.39,0.83,0.33,0.06,-27.61,3.96,7.199999999999999,1.12,7.33,1,590,0,698,0,64.0,125,0
22,7,0,558,34,0.68,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.39,0.27,0.47,0.0,0.0,0.0,0.0,0.8,0.92,7.38,1.65,1.03,1.35,0.06,-200.53,14.76,23.799999999999997,7.0,18.06,1,591,0,698,0,68.0,125,0
22,9,0,564,13,0.54,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.94,3.77,1.69,1.15,0.69,0.08,-37.620000000000005,16.2,19.2,4.0,8.46,1,591,1,698,1,68.0,125,0
22,10,0,565,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.34,1.62,7.0,1.0,1.0,1.0,0.0,8.0,23.04,10.0,4.0,11.0,1,591,1,698,2,68.0,125,0
23,8,0,564,17,0.71,1.94,0.0,4.25,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.25,0.5,0.0,0.88,0.57,0.0,0.0,0.0,0.0,0.0,0.0,1.14,1.2,3.24,2.65,0.12,0.24,0.76,-18.99,11.88,29.4,2.48,9.94,3,592,1,698,2,79.0,218,0
24,1,0,557,9,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.68,0.67,0.33,0.11,0.0,0.0,-7.89,10.44,1.1,1.12,2.33,3,593,1,697,1,75.0,185,0
