playerID,year,stint,tmID,playoff,confID,career_year,playoff_exit,pos,efg%,ts%,rpg,apg,eff,defensive_prowess,defensive_discipline,prizeCount
abrossv01w,2,0,MIN,0,WE,1,0,2,0.4215,0.42986624428018305,6.69,2.04,0.3255237177943655,0.6888882328048577,0.8035016308596381,0
abrossv01w,3,0,MIN,0,WE,2,0,2,0.6122693865306734,0.5885509838998212,5.41,2.22,0.1172515010006671,0.4622820828676548,0.710593023255814,0
abrossv01w,4,0,MIN,1,WE,3,1,2,0.6179091809308247,0.5850537244959556,4.7,2.73,0.29562100268207137,0.46800786987003634,0.8200331897053686,0
abrossv01w,5,0,MIN,1,WE,4,1,2,0.28300000000000003,0.30560000000000004,3.36,2.05,0.6371645363344707,0.32440299584623034,0.5473451578171927,0
abrossv01w,6,0,MIN,0,WE,5,0,2,0.6062666666666666,0.6170878158618964,3.45,1.94,0.37744516893894486,0.45242142841964345,0.7924115070439209,0
abrossv01w,7,0,MIN,0,WE,6,0,2,0.6231903666621568,0.4313621964097149,3.12,1.59,0.525625,0.27873144900491437,0.5269744081713269,0
abrossv01w,8,0,MIN,0,WE,7,0,2,0.4148,0.43544,4.41,2.5,0.4716195227561538,0.4016103211225162,0.5473150116738623,0
abrossv01w,9,0,CON,1,EA,8,1,2,0.49992500374981247,0.563955080799781,3.33,2.0,0.9398110154986049,0.38732616940581543,0.5593232189051248,0
adamsjo01w,4,0,MIN,1,WE,1,1,3,0.6644504173150375,0.5879512254014246,2.3,0.4,0.9368165875799463,0.16626485992185552,0.2911377663910562,0
aguilel01w,3,0,UTA,1,WE,1,2,1,0.8863056847157642,0.8200082565019954,0.39,0.57,0.9110873915943963,0.04661407559083382,0.06644186046511628,0
ajavoma01w,9,0,HOU,0,WE,1,0,1,0.5308234588270586,0.5768282662284305,1.76,1.74,0.4105840699664705,0.17498326764334055,0.5757673215409355,0
ajavoma01w,10,0,WAS,1,EA,2,1,1,0.39130000000000004,0.4512,1.88,1.09,0.3600245436416628,0.19948695652173912,0.5877570540411287,0
aldrima01w,1,0,WAS,1,EA,1,1,1,0.5185,0.6807485895142424,0.83,0.97,0.8141758359149663,0.09523809523809523,0.2653857578785342,0
aldrima01w,2,0,WAS,0,EA,2,0,1,0.3333,0.3262935586061246,0.4,0.4,0.9715868047194799,0.0,0.24260721891258052,0
alhalta01w,2,0,ORL,0,EA,1,0,5,0.36210000000000003,0.3360612460401267,1.46,0.54,0.8225379243920058,0.12869416314841606,0.24883413753133676,0
allench01w,9,0,SAC,1,WE,1,1,1,0.7499625018749062,0.6847439057792386,1.0,0.5,0.9750052756219372,0.0774615155796832,0.25635181430469134,0
amachma01w,2,0,NYL,1,EA,1,2,2,0.0,0.5,0.5,0.0,0.9891644594269203,0.04920630234320412,0.20217268242715042,0
amachma01w,4,0,SEA,0,WE,2,0,2,0.4243881737162258,0.41060002414584085,2.0,0.0,0.961677326181143,0.22432824378123242,0.24954873646209386,0
amachma01w,6,0,WAS,0,EA,3,0,2,0.0,0.6653740305228921,0.0,0.0,0.9942452084568267,0.0,0.0,0
ambermo01w,3,0,SAC,0,WE,1,0,2,0.0,0.0,0.0,0.0,0.9919946631087392,0.0,0.11627906976744186,0
anderam01w,7,1,CON,1,EA,1,2,2,0.0,0.0,2.0,0.0,1.0,0.1954021865504675,0.0,0
anderam01w,7,2,NYL,0,EA,2,0,2,0.0,0.0,0.67,0.0,0.9933035714285714,0.06513731888659835,0.047021810896983714,0
anderch01w,4,0,SAC,1,WE,1,2,3,0.610836044702221,0.5144271399251479,0.92,0.19,0.87649577057974,0.09592558723824832,0.2799435192733201,0
anderch01w,5,0,SAC,1,WE,2,2,3,0.2604,0.3197333333333333,1.13,0.17,0.8094668228344453,0.07751832309592162,0.3352836176120587,0
anderch01w,6,0,SAS,0,WE,3,0,3,0.6217333333333334,0.6404803602702027,2.65,0.32,0.6261114404267931,0.26562400390998536,0.700736948028886,0
anderch01w,7,0,SAS,0,WE,4,0,3,0.7127587606548506,0.5107356564589933,3.7,0.65,0.8163616071428572,0.3143434975037371,0.6256595468525155,0
anderch01w,8,0,SAS,1,WE,5,2,3,0.4,0.44304000000000004,1.82,0.27,0.9627712147597308,0.1712213956116395,0.14624284242242425,0
anderjo01w,9,0,CON,1,EA,1,1,1,0.5119244037798111,0.500958641468091,2.42,1.08,0.7581889376069779,0.21303078753625343,0.19226735649863666,0
anderke01w,1,0,WAS,1,EA,1,1,1,0.4485,0.6796477225815329,1.53,2.5,0.7715521845956628,0.1968285714285714,0.45006886122437956,0
anderke01w,2,0,CHA,1,EA,2,6,1,0.125,0.2587997184090109,0.83,0.78,0.9171923910426198,0.09841260468640824,0.18719842574871282,0
anderke01w,3,0,CHA,1,EA,3,1,1,0.4375281235938203,0.40140360533920466,0.86,0.71,0.9668312208138758,0.04661407559083382,0.11627906976744186,0
andrame01w,1,0,CLE,1,EA,1,2,2,0.5256000000000001,0.7920737580844915,2.97,2.34,0.5224335006943702,0.3392857142857143,0.6582322918635738,0
andrame01w,2,0,CLE,1,EA,2,1,2,0.3567,0.3504927842309046,2.72,3.12,0.5653503491451963,0.390579945479417,0.5812464619780575,0
andrame01w,3,0,CLE,0,EA,3,0,2,0.4931753412329384,0.516994633273703,1.75,2.09,0.6845363575717144,0.18865076969514036,0.44695348837209303,0
andrame01w,5,0,CHA,0,EA,4,0,2,0.28573333333333334,0.36060000000000003,0.33,0.58,0.973875846616082,0.026726861578432473,0.1770839236130787,0
