,year,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,GP,min,attend,count,tmID_ATL,tmID_CHA,tmID_CHI,tmID_CLE,tmID_CON,tmID_DET,tmID_HOU,tmID_IND,tmID_LAS,tmID_MIA,tmID_MIN,tmID_NYL,tmID_ORL,tmID_PHO,tmID_POR,tmID_SAC,tmID_SAS,tmID_SEA,tmID_UTA,tmID_WAS
21,2,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,0,0,0,0,0,0,32,6475,148446,22.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
22,2,754,1826,356,469,93,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,0,0,0,0,0,0,32,6575,141717,4.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23,2,671,1810,559,727,176,552,308,693,1001,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,1016,511,719,259,470,126,2156,0,0,0,0,0,0,32,6475,120607,8.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
24,2,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,0,0,0,0,0,0,32,6400,250565,5.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
25,2,768,1914,430,587,174,532,356,614,970,452,643,320,532,125,2140,806,1831,436,605,157,438,316,659,975,534,600,298,546,114,2205,0,0,0,0,0,0,32,6450,118874,3.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
26,2,767,1894,429,587,101,313,300,642,942,514,625,292,519,138,2064,785,1892,462,584,137,391,333,698,1031,524,603,283,517,127,2169,0,0,0,0,0,0,32,6450,136979,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
27,2,733,1891,450,612,172,519,300,696,996,451,633,244,500,106,2088,791,1944,461,656,159,410,343,763,1106,501,643,293,474,144,2202,0,0,0,0,0,0,32,6525,137656,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
28,2,837,1974,457,618,163,423,374,723,1097,558,588,276,494,158,2294,804,2003,415,578,116,400,343,662,1005,496,616,261,481,143,2139,0,0,0,0,0,0,32,6525,133603,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
29,2,689,1821,415,606,128,412,306,585,891,412,605,273,431,127,1921,753,1750,417,559,125,325,296,756,1052,492,588,228,519,127,2048,0,0,0,0,0,0,32,6550,95257,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30,2,811,1849,507,675,78,244,295,775,1070,524,622,202,493,156,2207,789,1976,489,660,125,429,344,630,974,478,645,275,390,148,2192,0,0,0,0,0,0,32,6475,110507,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
